header,organism,mol_type,isolate,isolation_source,host,geo_loc_name,collection_date
ON142673.1,Zika virus,genomic RNA,AB3234,,Homo sapiens,Thailand,09-Oct-2020
ON142672.1,Zika virus,genomic RNA,BK3007,,Homo sapiens,Thailand,01-Jul-2020
ON142671.1,Zika virus,genomic RNA,BK2717,,Homo sapiens,Thailand,17-Jan-2020
OR264647.1,Zika virus,genomic RNA,AB4537,,Homo sapiens,Thailand,16-Mar-2023
OR264646.1,Zika virus,genomic RNA,AB4506,,Homo sapiens,Thailand,04-Mar-2023
OR264645.1,Zika virus,genomic RNA,AB4262,,Homo sapiens,Thailand,19-Dec-2022
OR264644.1,Zika virus,genomic RNA,AB4153,,Homo sapiens,Thailand,18-Nov-2022
OR264643.1,Zika virus,genomic RNA,AB4070,,Homo sapiens,Thailand,01-Nov-2022
OR264642.1,Zika virus,genomic RNA,AB3564,,Homo sapiens,Thailand,05-Feb-2021
OR264641.1,Zika virus,genomic RNA,AB4443,,Homo sapiens,Thailand,14-Feb-2023
OR264640.1,Zika virus,genomic RNA,AB4440,,Homo sapiens,Thailand,14-Feb-2023
OR264639.1,Zika virus,genomic RNA,AB4421,,Homo sapiens,Thailand,02-Feb-2023
OR264638.1,Zika virus,genomic RNA,AB4398,,Homo sapiens,Thailand,28-Jan-2023
OR264637.1,Zika virus,genomic RNA,AB4215,,Homo sapiens,Thailand,03-Dec-2022
OR264636.1,Zika virus,genomic RNA,AB4177,,Homo sapiens,Thailand,24-Nov-2022
OR264635.1,Zika virus,genomic RNA,AB4174,,Homo sapiens,Thailand,23-Nov-2022
OR264634.1,Zika virus,genomic RNA,AB4119,,Homo sapiens,Thailand,09-Nov-2022
OR264633.1,Zika virus,genomic RNA,AB4052,,Homo sapiens,Thailand,29-Oct-2022
OR264632.1,Zika virus,genomic RNA,AB3790,,Homo sapiens,Thailand,15-Jun-2022
OR264631.1,Zika virus,genomic RNA,AB3389,,Homo sapiens,Thailand,27-Nov-2020
OQ180929.1,Zika virus,genomic RNA,ArD41519,,Aedes africanus,Senegal,1984
OQ165285.1,Zika virus,genomic RNA,p6740,,A. aegypti mosquitoes,Malaysia,1966
OQ661919.1,Zika virus,genomic RNA,SV180092-02,C6/36-3,Homo sapiens,Thailand,06-Nov-2018
OQ661918.1,Zika virus,genomic RNA,SV0014/18,"TS-1, C6/36-1",Homo sapiens,Thailand,2018
OQ661917.1,Zika virus,genomic RNA,SK2520/18,"TS-1, C6/36-1",Homo sapiens,Thailand,25-Aug-2018
OQ661915.1,Zika virus,genomic RNA,31488/13,"TS1, C6/36-2",Homo sapiens,Thailand,19-Aug-2013
OQ661914.1,Zika virus,genomic RNA,30790/11,"TS-1, C6/36-1",Homo sapiens,Thailand,04-Jul-2011
OQ661913.1,Zika virus,genomic RNA,30634/17,"TS1, C6/36-2",Homo sapiens,Thailand,11-Jul-2017
MN025403.1,Zika virus,genomic RNA,15555,,Homo sapiens,Guinea: Faranah,29-Aug-2018
OP898542.1,Zika virus,genomic RNA,V_8565,,Homo sapiens,Colombia,01-Apr-2018
OP898541.1,Zika virus,genomic RNA,C11541,,Homo sapiens,Colombia,01-Oct-2018
OK571913.1,Zika virus,genomic RNA,Homo sapiens/Haiti/0728/2014,plasma,Homo sapiens,Haiti,25-Nov-2014
MN577543.1,Zika virus,genomic RNA,Haiti/1327/2014,plasma,Homo sapiens,Haiti,11-Dec-2014
KY415991.1,Zika virus,genomic RNA,Haiti/0097/2014,plasma,Homo sapiens,Haiti,24-Jun-2014
KY415990.1,Zika virus,genomic RNA,Haiti/0036/2014,plasma,Homo sapiens,Haiti,02-Jun-2014
KY415989.1,Zika virus,genomic RNA,Haiti/0074/2014,plasma,Homo sapiens,Haiti,10-Jun-2014
KY415988.1,Zika virus,genomic RNA,Haiti/0054/2014,plasma,Homo sapiens,Haiti,05-Jun-2014
KY415987.1,Zika virus,genomic RNA,Haiti/0033/2014,plasma,Homo sapiens,Haiti,29-May-2014
KY415986.1,Zika virus,genomic RNA,Haiti/0029/2014,plasma,Homo sapiens,Haiti,29-May-2014
OM964568.1,Zika virus,genomic RNA,BK2763,,Homo sapiens,Thailand,26-Jan-2020
OM964567.1,Zika virus,genomic RNA,BK2504,,Homo sapiens,Thailand,24-Dec-2019
OM964566.1,Zika virus,genomic RNA,BK2351,,Homo sapiens,Thailand,12-Dec-2019
OM964565.1,Zika virus,genomic RNA,BK1463,,Homo sapiens,Thailand,03-Oct-2019
OP281680.1,Zika virus,genomic RNA,NS1-101,,Homo sapiens,Thailand,11-Aug-2006
OM522327.1,Zika virus,genomic RNA,584,,Homo sapiens,Mexico: Morelos,16-Sep-2021
OL414716.1,Zika virus,genomic RNA,15555,,Homo sapiens,Guinea,Dec-2018
OK054483.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/7502_CHB3148/2016,serum,Homo sapiens,Nicaragua,12-Jul-2016
OK054471.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/6219_CZB140/2016,serum,Homo sapiens,Nicaragua,26-Aug-2016
MT377504.1,Zika virus,genomic RNA,NS-110/2006,serum,Homo sapiens,Thailand,06-Sep-2006
MT377502.1,Zika virus,genomic RNA,NS-274/2006,serum,Homo sapiens,Thailand,28-Oct-2006
MT377497.1,Zika virus,genomic RNA,MU-DMSC-3/2016,urine,Homo sapiens,Thailand: Rayong,25-Nov-2016
MT377494.1,Zika virus,genomic RNA,MU-DMSC-3/2017,serum,Homo sapiens,Thailand: Samut Sakorn,24-Nov-2017
MW143021.1,Zika virus,genomic RNA,,,,Uganda,1947
MW143020.1,Zika virus,genomic RNA,,,,Uganda,1947
MW143019.1,Zika virus,genomic RNA,,,,Uganda,1947
MW143018.1,Zika virus,genomic RNA,,,,Uganda,1947
MW143017.1,Zika virus,genomic RNA,,,,Uganda,1947
MW680970.1,Zika virus,genomic RNA,rGZ02p/2018,,Homo sapiens,China,24-Jan-2018
MW015936.1,Zika virus,genomic RNA,Zika virus/H.sapiens-tc/THA/2006/CVD_06-020,serum,Homo sapiens,Thailand,11-Aug-2006
MN101548.1,Zika virus,genomic RNA,Salvador,,Aedes albopictus C636,Brazil,11-Nov-2017
MT507049.1,Zika virus,genomic RNA,S-542/Yucatan/2017,,Homo sapiens,Mexico,2017
MT507048.1,Zika virus,genomic RNA,S-542/Yucatan/2017,,Homo sapiens,Mexico,2017
MT507047.1,Zika virus,genomic RNA,S-542/Yucatan/2017,,Homo sapiens,Mexico,2017
MN611472.1,Zika virus,genomic RNA,2019YNZIKV02,plasma,Homo sapiens,China,01-Jul-2019
MK269360.1,Zika virus,genomic RNA,FLSR103,serum,Homo sapiens,USA,09-Aug-2016
MH063264.1,Zika virus,genomic RNA,ZIKV/Homo_sapiens/Cuba/2017/FL055Se,serum,Homo sapiens,Cuba,13-Aug-2017
MK028860.1,Zika virus,genomic RNA,Zika virus/A.africanus-tc/Senegal/1984/DAK AR 41524,mosquito,Aedes africanus,Senegal: Kedougou,1984
